category,subcategory,skill_name,level,base_score,description,evidence_examples,developer_type
기본 문법 및 제어 구조,변수 및 데이터 타입,변수 선언 및 할당,Basic,4,기본 변수 선언만 존재,기본 변수 선언만 존재,All
기본 문법 및 제어 구조,변수 및 데이터 타입,변수 선언 및 할당,Intermediate,18,타입 힌트 사용 + 불변성 고려,타입 힌트 사용 + 불변성 고려,All
기본 문법 및 제어 구조,변수 및 데이터 타입,변수 선언 및 할당,Advanced,48,Generic 타입 + Protocol 활용,Generic 타입 + Protocol 활용,All
기본 문법 및 제어 구조,변수 및 데이터 타입,데이터 타입 이해,Basic,4,"int, str, list 등 기본 타입만","int, str, list 등 기본 타입만",All
기본 문법 및 제어 구조,변수 및 데이터 타입,데이터 타입 이해,Intermediate,20,"Union, Optional, Literal 사용","Union, Optional, Literal 사용",All
기본 문법 및 제어 구조,변수 및 데이터 타입,데이터 타입 이해,Advanced,60,"TypeVar, Generic 커스텀 타입 구현","TypeVar, Generic 커스텀 타입 구현",All
기본 문법 및 제어 구조,변수 및 데이터 타입,타입 체킹,Intermediate,25,mypy 기본 설정 + 주요 함수에 타입 힌트,mypy 기본 설정 + 주요 함수에 타입 힌트,All
기본 문법 및 제어 구조,변수 및 데이터 타입,타입 체킹,Advanced,72,strict 모드 + 복잡한 제네릭 타입 정의,strict 모드 + 복잡한 제네릭 타입 정의,All
기본 문법 및 제어 구조,조건문 및 반복문,if-else 조건문,Basic,3,단순 if-else만,단순 if-else만,All
기본 문법 및 제어 구조,조건문 및 반복문,if-else 조건문,Intermediate,15,elif 체인 + 조기 반환 패턴,elif 체인 + 조기 반환 패턴,All
기본 문법 및 제어 구조,조건문 및 반복문,if-else 조건문,Advanced,48,match-case (3.10+) + 가드 조건,match-case (3.10+) + 가드 조건,All
기본 문법 및 제어 구조,조건문 및 반복문,for/while 루프,Basic,3,기본 for/while만,기본 for/while만,All
기본 문법 및 제어 구조,조건문 및 반복문,for/while 루프,Intermediate,18,"enumerate, zip 활용 + break/continue","enumerate, zip 활용 + break/continue",All
기본 문법 및 제어 구조,조건문 및 반복문,for/while 루프,Advanced,56,itertools 조합 + 제너레이터 체인,itertools 조합 + 제너레이터 체인,All
